Cluster,Season,Plant,WS2M,RH2M,T2M,TSOIL1,TSOIL4,PRECTOTCORR,GWETROOT,GWETTOP,ALLSKY_SFC_SW_DWN
1,Autumn,Mango,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,> Excess,> Excess,< Deficit
1,Spring,Mango,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,> Excess,= Suitable,> Excess,< Deficit
3,Autumn,Mango,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,> Excess,> Excess,< Deficit
1,Spring,Tomato,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Spring,Potato,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Potato,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Onion,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
1,Autumn,Cucumber,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Spring,Cucumber,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Spring,Orange,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
3,Autumn,Date Palm,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Wheat,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
1,Autumn,Rice,< Deficit,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,> Excess,> Excess,< Deficit
3,Autumn,Rice,= Suitable,> Excess,= Suitable,= Suitable,= Suitable,> Excess,> Excess,> Excess,< Deficit
1,Autumn,Maize,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Spring,Maize,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,> Excess,= Suitable,= Suitable,< Deficit
1,Summer,Maize,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Winter,Maize,= Suitable,= Suitable,> Excess,> Excess,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
3,Autumn,Maize,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Autumn,Eggplant,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Spring,Eggplant,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Summer,Eggplant,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Spring,Grape,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Spring,Lemon,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Spring,Olive,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Olive,= Suitable,< Deficit,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
3,Spring,Olive,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Spring,Barley,= Suitable,= Suitable,= Suitable,= Suitable,< Deficit,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Barley,= Suitable,< Deficit,= Suitable,= Suitable,< Deficit,> Excess,= Suitable,= Suitable,= Suitable
3,Spring,Barley,= Suitable,= Suitable,= Suitable,= Suitable,< Deficit,> Excess,= Suitable,= Suitable,< Deficit
3,Winter,Barley,= Suitable,= Suitable,= Suitable,= Suitable,< Deficit,> Excess,= Suitable,= Suitable,< Deficit
1,Autumn,Banana,< Deficit,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,> Excess,> Excess,< Deficit
3,Autumn,Banana,= Suitable,> Excess,= Suitable,= Suitable,= Suitable,> Excess,> Excess,> Excess,< Deficit
1,Spring,Sorghum,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Lentil,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
1,Spring,Bell Pepper,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Carrot,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
1,Winter,Lettuce,< Deficit,= Suitable,= Suitable,= Suitable,< Deficit,> Excess,= Suitable,= Suitable,= Suitable
1,Autumn,Okra,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Spring,Okra,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Summer,Okra,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Spring,Squash,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Spring,Pomegranate,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Pomegranate,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
1,Spring,Guava,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,> Excess,< Deficit
1,Winter,Peach,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
1,Winter,Fava Bean,= Suitable,= Suitable,= Suitable,= Suitable,< Deficit,> Excess,= Suitable,= Suitable,= Suitable
1,Spring,Chickpea,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
1,Winter,Chickpea,= Suitable,< Deficit,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,= Suitable
3,Spring,Chickpea,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
3,Winter,Chickpea,= Suitable,= Suitable,= Suitable,= Suitable,= Suitable,> Excess,= Suitable,= Suitable,< Deficit
